City;IATA
Tallinn;TLL
Amsterdam;AMS
Antalya;AYT
Athens;ATH
Barcelona;BCN
Berlin;TXL
Billund;BLL
Birmingham;BHX
Bodrum;BJV
Brussels;BRU
Budapest;BUD
Burgas;BOJ
Copenhagen;CPH
Dublin;DUB
Düsseldorf;DUS
Edinburgh;EDI
Frankfurt;FRA
Funchal;FNC
Gdansk;GDN
Genf;GVA
Gran Canaria;LPA
Hamburg;HAM
Helsinki;HEL
Herakleion;HER
Istanbul;IST
Kopenhagen;CPH
Krakow;KRK
Kuressaare;URE
Khutaisi;KUT
Kärdla;KDL
Leeds;LBA
London;LGW
Malaga;AGP
Malta;MLA
Manchester;MAN
Milan;BGY
Munich;MUC
Nice;NCE
Oslo;OSL
Palma de Mallorca;PMI
Paris;CDG
Praha;PRG
Rhodos;RHO
Riga;RIX
Rome;FCO
Split;SPU
Stockholm;ARN
Tenerife;TFS
Tirana;TIA
Zürich;ZRH
Venice;VCE
Warsaw;WAW
Vienna;VIE
Vilnius;VNO
